#AVAILABLE,CITY,TYPE,RENT,BEDS,BATHS,PETS,SQ. FT.
"Now","SANFRANCISCO","Apartment","$2155","2","2.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2159","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2160","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2165","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2165","Studio","1.00","CatOK","500"
"Now","SANFRANCISCO","Apartment","$2165","1","1.00","CatOK","664"
"Now","SANFRANCISCO","Apartment","$2176","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2183","1","1.00","CatOK","486"
"Now","SANFRANCISCO","Apartment","$2185","1","1.00","PetOK","615"
"Now","SANFRANCISCO","Apartment","$2185","1","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2185","1","1.00","PetOK","615"
"Now","SANFRANCISCO","Apartment","$2185","1","1.00","PetOK","615"
"Now","SANFRANCISCO","Apartment","$2185","1","1.00","PetOK","615"
"Now","SANFRANCISCO","Apartment","$2185","1","1.00","DogOK","600"
"Now","SANFRANCISCO","Apartment","$2189","2","1.00","PetOK","1100"
"Now","SANFRANCISCO","Apartment","$2190","2","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2195","1","1.00","PetOK","705"
"Now","SANFRANCISCO","Apartment","$2195","1","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2199","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2199","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2199","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2200","1","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2200","Studio","1.00","DogOK","300"
"Now","SANFRANCISCO","Apartment","$2200","2","2.00","PetOK","1100"
"Now","SANFRANCISCO","Apartment","$2200","2","1.00","NoPets",""
"02/09/2012","SANFRANCISCO","Apartment","$2200","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2209","2","2.00","PetOK",""
